Label Category
Actions
Animals and Pets
Apparel and Accessories
Beauty and Personal Care
Buildings and Architecture
Colors and Visual Composition
Damage Detection
Education
Events and Attractions
Everyday Objects
Expressions and Emotions
Food and Beverage
Furniture and Furnishings
Health and Fitness
Hobbies and Interests
Home and Indoors
Home Appliances
Kitchen and Dining
Materials
Medical
Nature and Outdoors
Offices and Workspaces
Patterns and Shapes
Performing Arts
Person Description
Plants and Flowers
Popular Landmarks
Profession
Public Safety
Religion
Sports
Symbols and Flags
Technology and Computing
Text and Documents
Tools and Machinery
Toys and Gaming
Transport and Logistics
Travel and Adventure
Vehicles and Automotive
Weapons and Military
